Sample no.,Target no.,Date,Name,Area,SCI-SCE,Type,L* (10°/D65),a* (10°/D65),b* (10°/D65),L* (10°/None),a* (10°/None),b* (10°/None),400nm,410nm,420nm,430nm,440nm,450nm,460nm,470nm,480nm,490nm,500nm,510nm,520nm,530nm,540nm,550nm,560nm,570nm,580nm,590nm,600nm,610nm,620nm,630nm,640nm,650nm,660nm,670nm,680nm,690nm,700nm,L* (10°/D65),a* (10°/D65),b* (10°/D65),L* (10°/None),a* (10°/None),b* (10°/None),400nm,410nm,420nm,430nm,440nm,450nm,460nm,470nm,480nm,490nm,500nm,510nm,520nm,530nm,540nm,550nm,560nm,570nm,580nm,590nm,600nm,610nm,620nm,630nm,640nm,650nm,660nm,670nm,680nm,690nm,700nm,8° Gloss
0001,0001,2017-12-30 11:31:05,No Name    ,MAV,SCI&SCE,Spectral,49.96,5.38,15.71,0,0,0,9.39,9.66,10,10.5,11.14,11.75,12.22,12.58,13.05,13.54,14.18,14.92,15.72,16.56,17.46,18.36,19.32,20.2,20.97,21.65,22.22,22.71,23.22,23.65,24.14,24.65,25.09,25.5,25.85,26.16,26.43,46.76,5.96,18.07,0,0,0,6.66,7,7.35,7.84,8.53,9.14,9.63,9.97,10.46,10.94,11.61,12.35,13.16,13.98,14.91,15.82,16.77,17.66,18.45,19.13,19.71,20.2,20.68,21.15,21.67,22.19,22.64,23.06,23.38,23.69,24.01,57.74
0002,0001,2017-12-30 11:31:19,No Name    ,MAV,SCI&SCE,Spectral,50.74,5.26,16.15,0,0,0,9.59,9.89,10.23,10.75,11.45,12.08,12.59,12.97,13.45,13.98,14.66,15.46,16.31,17.18,18.13,19.08,20.08,21,21.78,22.45,23.04,23.49,23.94,24.35,24.83,25.29,25.69,26.11,26.44,26.73,27.02,47.38,5.83,18.6,0,0,0,6.66,7.01,7.39,7.95,8.64,9.31,9.82,10.22,10.7,11.21,11.92,12.7,13.56,14.43,15.38,16.35,17.33,18.26,19.07,19.74,20.29,20.78,21.24,21.65,22.1,22.59,22.98,23.4,23.73,24.04,24.34,62.13
0003,0001,2017-12-30 11:31:24,No Name    ,MAV,SCI&SCE,Spectral,50.69,5.2,15.99,0,0,0,9.64,9.94,10.29,10.81,11.47,12.08,12.61,12.99,13.46,14,14.67,15.45,16.29,17.15,18.1,19.05,20.02,20.93,21.73,22.38,22.95,23.4,23.83,24.23,24.67,25.15,25.57,25.94,26.28,26.6,26.85,46.12,5.96,19.29,0,0,0,5.86,6.2,6.59,7.13,7.81,8.44,8.95,9.34,9.82,10.33,11.04,11.8,12.65,13.5,14.43,15.39,16.39,17.29,18.1,18.75,19.29,19.76,20.18,20.58,21.03,21.51,21.91,22.32,22.66,22.98,23.24,82.76
0004,0001,2017-12-30 11:31:30,No Name    ,MAV,SCI&SCE,Spectral,50.37,4.81,15.09,0,0,0,9.89,10.16,10.49,10.98,11.61,12.24,12.72,13.07,13.51,14.02,14.66,15.4,16.2,17.02,17.9,18.79,19.71,20.57,21.28,21.87,22.38,22.79,23.18,23.56,23.96,24.39,24.72,25.1,25.38,25.67,25.9,45.28,5.63,18.64,0,0,0,5.74,6.07,6.42,6.96,7.61,8.23,8.7,9.08,9.51,10.01,10.69,11.41,12.2,13.02,13.9,14.82,15.74,16.56,17.32,17.91,18.44,18.83,19.22,19.58,19.99,20.41,20.8,21.14,21.45,21.72,21.97,90.35
0005,0001,2017-12-30 11:31:35,No Name    ,MAV,SCI&SCE,Spectral,49.9,5.18,15.73,0,0,0,9.35,9.64,9.97,10.46,11.1,11.7,12.18,12.55,13.01,13.52,14.17,14.91,15.7,16.54,17.45,18.37,19.31,20.2,20.96,21.6,22.14,22.58,23.02,23.38,23.82,24.28,24.71,25.09,25.43,25.76,25.98,45.96,5.83,18.42,0,0,0,6.18,6.5,6.87,7.4,8.02,8.61,9.08,9.46,9.9,10.43,11.1,11.8,12.6,13.44,14.36,15.28,16.22,17.1,17.87,18.49,19.02,19.49,19.88,20.31,20.71,21.2,21.62,22.01,22.32,22.66,22.91,70.31
0006,0001,2017-12-30 11:31:40,No Name    ,MAV,SCI&SCE,Spectral,50.18,4.64,15.59,0,0,0,9.5,9.79,10.11,10.6,11.28,11.94,12.43,12.81,13.29,13.78,14.46,15.22,16.05,16.87,17.77,18.68,19.63,20.48,21.18,21.74,22.25,22.62,22.93,23.26,23.61,23.95,24.3,24.61,24.93,25.12,25.35,47.96,4.96,17.16,0,0,0,7.51,7.85,8.23,8.74,9.43,10.08,10.57,10.97,11.46,11.95,12.64,13.39,14.24,15.07,15.96,16.9,17.83,18.67,19.39,19.98,20.45,20.8,21.15,21.48,21.82,22.21,22.57,22.88,23.16,23.37,23.63,40.86
0007,0001,2017-12-30 11:31:51,No Name    ,MAV,SCI&SCE,Spectral,49.85,4.58,15.76,0,0,0,9.19,9.47,9.83,10.34,11.02,11.66,12.18,12.56,13.04,13.54,14.2,14.97,15.78,16.61,17.51,18.44,19.36,20.22,20.94,21.49,21.93,22.29,22.59,22.86,23.18,23.56,23.87,24.21,24.5,24.75,24.98,47.61,4.88,17.4,0,0,0,7.19,7.53,7.92,8.47,9.15,9.79,10.32,10.71,11.19,11.71,12.38,13.15,13.96,14.8,15.72,16.62,17.56,18.44,19.12,19.68,20.14,20.48,20.79,21.07,21.4,21.8,22.08,22.45,22.73,22.99,23.23,41.02
0008,0001,2017-12-30 11:32:01,No Name    ,MAV,SCI&SCE,Spectral,50.75,3.83,15.14,0,0,0,9.7,10.04,10.46,11.03,11.79,12.51,13.04,13.4,13.88,14.38,15.07,15.84,16.68,17.51,18.4,19.3,20.21,21,21.65,22.14,22.49,22.73,22.95,23.16,23.38,23.63,23.88,24.11,24.42,24.59,24.79,50.07,3.91,15.54,0,0,0,9.1,9.46,9.87,10.44,11.22,11.93,12.47,12.83,13.3,13.8,14.51,15.29,16.11,16.92,17.81,18.73,19.65,20.44,21.09,21.56,21.93,22.15,22.4,22.6,22.8,23.06,23.34,23.64,23.87,24.05,24.25,12.92
0009,0001,2017-12-30 11:32:06,No Name    ,MAV,SCI&SCE,Spectral,55.91,3.55,15.68,0,0,0,12.1,12.65,13.26,14.08,15.11,15.98,16.59,16.99,17.52,18.17,19.06,20.05,21.08,22.06,23.14,24.21,25.28,26.24,26.98,27.52,27.88,28.1,28.22,28.36,28.45,28.57,28.68,28.8,28.94,29.12,29.26,53.07,3.86,17.49,0,0,0,9.24,9.83,10.43,11.31,12.35,13.22,13.8,14.26,14.78,15.44,16.35,17.31,18.35,19.36,20.41,21.51,22.59,23.54,24.3,24.84,25.19,25.41,25.56,25.69,25.79,25.92,26.03,26.2,26.32,26.49,26.66,61.32
0010,0001,2017-12-30 11:32:11,No Name    ,MAV,SCI&SCE,Spectral,55.98,2.92,15.35,0,0,0,12.23,12.8,13.42,14.26,15.3,16.18,16.8,17.21,17.76,18.43,19.34,20.34,21.36,22.32,23.33,24.36,25.4,26.3,26.98,27.43,27.71,27.83,27.88,27.9,27.88,27.86,27.82,27.8,27.79,27.8,27.79,53.6,3.13,16.79,0,0,0,9.8,10.4,11.04,11.9,12.96,13.86,14.45,14.89,15.44,16.14,17.05,18.02,19.05,20.01,21.03,22.08,23.11,24.01,24.68,25.13,25.43,25.55,25.62,25.62,25.63,25.61,25.58,25.6,25.58,25.59,25.59,52.06
